SKU,Status,Title,Description,Primary Category,Secondary Category,Age,Condition,Rug Pile,Rug Foundation,Dimension,Price Per Square Feet,Store Price,Cost Per Square Feet,Cost,Quantity,Rug Border Color,Rug Field Color,Exact Field Color,Other Color,Weight,Rugpad cost,Pad Price,Flat Shiping Rate,Shipping Method,eBay International Shipping,Country of Manufacture,Style,Material,Weavetype,Rugtype,Origin,Stock Shape,image link,additional image link,color,size,gender,tax,size in CM
26171,Available,"3'2""x13'10"" Antique Persian Northwest Boteh Design Runner Handmade Rug 26171","The foundation of this Wool rug is Cotton. It took about 8 Months to meticulously weave this piece. This wonderful Hand-Knotted Antique Persian Northwest Boteh Design Masterpiece was Made in the 1900. This particular carpet will enhance your interior decor and bring back a trendy ambience to your home.
",Persian,"Persian,Antique",1900,Used,Wool,Wool,14 Ft,66.48,2475 USD,,1500,1,Ivory,Blue,Navy Blue,"Pink, Gold, Forest Green, Purple, Black, Denim Blue",17.52,1.75,87.6,US:::29 USD,Ups/Fedex,Free,IRAN (Islamic Republic of Iran),Traditional,Wool,Hand-Knotted,Indoor,IRAN (Islamic Republic of Iran),Runner,https://shrugs.com/rug_pictures/overstock_rugs/26000-26499/sh26171 001.jpg,,Blue,"3'2"" x 13'10""",female,US:NJ:6.75:N,97 X 422
26424,Available,"3'1""x14'3"" Green Camel Hair Xl Runner Antique Persian Serab Mint Condition Pure Wool Rug 26424",,Antique,"Persian,Antique",1900,Used,Wool,Cotton,14 Ft,114.48,4275 USD,,2000,1,Light Brown,Green,Green,"Red, Taupe, Black",17.572,1.75,87.86,US:::29 USD,Ups/Fedex,Free,IRAN (Islamic Republic of Iran),Traditional,Wool,Hand-Knotted,Indoor,IRAN (Islamic Republic of Iran),Runner,https://shrugs.com/rug_pictures/overstock_rugs/26000-26499/sh26424 001.jpg,,Green,"3'1"" x 14'3""",female,US:NJ:6.75:N,94 X 434
26426,Available,"10'10""x17' Navy Blue Gallery Size Antique Persian Kerman Herati Design Rug 26426",,Antique,"Persian,Antique",1900,Used,Wool,Cotton,12x18,43.44,6800 USD,,3500,1,Gold,Blue,Navy Blue,"Sky Blue, Beige, Light Brown, Denim Blue",73.664,1.75,368.32,US:::250 USD,Ups/Fedex,Free,IRAN (Islamic Republic of Iran),Traditional,Wool,Hand-Knotted,Indoor,IRAN (Islamic Republic of Iran),Runner,https://shrugs.com/rug_pictures/overstock_rugs/26000-26499/sh26426 001.jpg,,Blue,"10'10"" x 17'0""",female,US:NJ:6.75:N,330 X 518
27175,Available,"3'7""x14'2"" Rust Red Antique North West Persian Even Wear Wide Runner Oriental Rug 27175",,Antique,"Antique,Tribal & Geometric",1900,Used,Wool,Cotton,Wide / Gallery,45.19,1950 USD,,1000,1,Denim Blue,Red,Rust Red,"Beige, Salmon, Chocolate Brown, Gold, Black",20.304,1.75,101.52,US:::29 USD,Ups/Fedex,Free,IRAN (Islamic Republic of Iran),Traditional,Wool,Hand-Knotted,Indoor,IRAN (Islamic Republic of Iran),Runner,https://shrugs.com/rug_pictures/overstock_rugs/27000-27499/sh27175 001.jpg,,Red,"3'7"" x 14'2""",female,US:NJ:6.75:N,109 X 432
27177,Available,"3'9""x14'4"" Sand Brown Antique Persian Serab Camel Hair Exc Cond Xl Runner Rug 27177",,Antique,"Persian,Antique,Tribal & Geometric",1900,Used,Wool,Cotton,Wide / Gallery,52.53,2400 USD,,1250,1,Denim Blue,Brown,Sand Brown,"Honey Brown, navy Blue, Ivory, Salmon, Rust Red, Gold, Yellow",21.496,1.75,107.48,US:::29 USD,Ups/Fedex,Free,IRAN (Islamic Republic of Iran),Traditional,Wool,Hand-Knotted,Indoor,IRAN (Islamic Republic of Iran),Runner,https://shrugs.com/rug_pictures/overstock_rugs/27000-27499/sh27177 001.jpg,,Brown,"3'9"" x 14'4""",female,US:NJ:6.75:N,114 X 437
